time,dust,R_color_mean,R_color_median,R_color_mode,R_color_std,R_color_cv,R_color_kurtosis,R_color_skewness,R_color_max,R_color_min,R_color_cov_prev,R_texture_energy,R_texture_entropy,R_texture_contrast,R_texture_correlation,R_texture_homogeneity,G_color_mean,G_color_median,G_color_mode,G_color_std,G_color_cv,G_color_kurtosis,G_color_skewness,G_color_max,G_color_min,G_color_cov_prev,G_texture_energy,G_texture_entropy,G_texture_contrast,G_texture_correlation,G_texture_homogeneity,B_color_mean,B_color_median,B_color_mode,B_color_std,B_color_cv,B_color_kurtosis,B_color_skewness,B_color_max,B_color_min,B_color_cov_prev,B_texture_energy,B_texture_entropy,B_texture_contrast,B_texture_correlation,B_texture_homogeneity,Gray_color_mean,Gray_color_median,Gray_color_mode,Gray_color_std,Gray_color_cv,Gray_color_kurtosis,Gray_color_skewness,Gray_color_max,Gray_color_min,Gray_color_cov_prev,Gray_texture_energy,Gray_texture_entropy,Gray_texture_contrast,Gray_texture_correlation,Gray_texture_homogeneity
0,0,-1.480053615,-1.669436749,-0.119674053,-1.07198607,2.352606811,2.053986996,1.94698387,0.202323965,0,-1.719779151,2.642043169,-3.19311043,-0.954997438,-0.904894614,4.80061372,-1.535292579,-1.755634652,-0.114880079,-1.163267004,2.518036516,2.348902435,2.099242639,1.093534806,0,-1.690409168,2.683939851,-3.065816186,-1.060783709,-1.066976311,4.457965377,-1.461814804,-1.585353524,-0.060578253,-1.20636141,2.304478959,2.134412233,1.957289973,0.987397482,0,-1.724958292,2.638755853,-2.99121383,-1.542729509,-1.03348066,4.49818031,-1.518032409,-1.700742378,-0.121828648,-1.153365709,2.470283888,2.267672106,2.052471971,0.789164329,0,-1.690179302,2.621328606,-3.057148211,-1.085247272,-1.042087014,4.480277802
1,0.01,-1.478848547,-1.669436749,-0.119674053,-1.071032115,2.348293484,2.056948473,1.946954558,1.410607375,0,-0.883151311,2.64708886,-3.211804252,-0.855734633,-0.940030333,4.850896405,-1.5348787,-1.755634652,-0.114880079,-1.162626114,2.517157807,2.348812746,2.099057723,1.707114535,0,-0.940561909,2.679567886,-3.073342898,-0.959701546,-1.103268491,4.488532296,-1.460581933,-1.585353524,-0.060578253,-1.205879532,2.297807093,2.132462322,1.956005902,0.987397482,0,-0.98072151,2.556846938,-2.979869217,-1.458178636,-1.061402855,4.521166416,-1.517402323,-1.700742378,-0.121828648,-1.152558348,2.46852396,2.267433629,2.052017657,2.012900369,0,-0.934685721,2.613104129,-3.06564165,-0.988078379,-1.076214531,4.509794694
2,0,-1.546982833,-1.669436749,-0.119674053,-1.174886388,2.46162208,2.515201433,2.135041247,1.108536522,0,-0.917412957,2.602260702,-3.162247938,-0.378246115,-1.375651585,4.453494015,-1.585095506,-1.755634652,-0.114880079,-1.249100364,2.603231957,2.731688856,2.250995777,1.093534806,0,-0.967848043,2.710718342,-3.097483319,-0.478153577,-1.515998585,4.377773777,-1.530494677,-1.672964073,-0.060578253,-1.322615102,2.442992938,2.559493224,2.139897139,1.134460257,0,-1.017808456,2.679983547,-3.052695817,-1.032324479,-1.522142527,4.302352944,-1.572287986,-1.744948992,-0.121828648,-1.244636571,2.565784019,2.675488483,2.216865947,-0.434571711,0,-0.963725703,2.660926276,-3.100708969,-0.513630007,-1.497778578,4.407725634
3,0.08,-1.526560019,-1.669436749,-0.119674053,-1.121589849,2.489172261,2.461080288,2.133228672,2.01474908,0,-0.933609532,2.451402697,-2.337524192,2.048938128,-2.184661732,1.757264924,-1.545184482,-1.755634652,-0.114880079,-1.176932352,2.543906887,2.493239007,2.158926372,1.093534806,0,-0.973453503,2.628591314,-2.484810005,2.004744707,-2.259708687,2.048935629,-1.519508877,-1.672964073,-0.060578253,-1.275434199,2.501582059,2.523816194,2.148553127,1.722711356,0,-1.038551387,2.695133425,-2.469067955,1.619742789,-2.353522561,1.987158817,-1.538659863,-1.744948992,-0.121828648,-1.178008096,2.534100895,2.493571955,2.154311126,0.789164329,0,-0.972399774,2.599819367,-2.446012747,1.971269379,-2.257404841,2.017349169
4,0,-1.571414066,-1.713909532,-0.119674053,-1.191340056,2.566462785,2.819203388,2.274130449,2.01474908,0,-0.937024637,2.470441921,-2.402610535,2.662952758,-2.66655588,1.787437222,-1.587996413,-1.755634652,-0.114880079,-1.253712672,2.609582223,2.834830354,2.279866264,1.093534806,0,-0.973492584,2.663089484,-2.543536432,2.62640409,-2.778192926,2.07898924,-1.564631572,-1.716769347,-0.060578253,-1.366277365,2.561673249,2.830416934,2.256532322,1.722711356,0,-1.049339158,2.798338803,-2.567086069,2.227444511,-2.929092151,2.058477213,-1.582148598,-1.789155605,-0.121828648,-1.25448496,2.604156641,2.836778245,2.278781028,0.789164329,0,-0.974019162,2.638158308,-2.511956559,2.596128875,-2.776417416,2.046130615
5,0,-1.502146299,-1.669436749,-0.119674053,-1.077067776,2.467612786,2.392146226,2.115883325,1.410607375,0,-0.924105162,2.334510648,-2.146345908,3.372653012,-2.545315347,1.38527025,-1.518201114,-1.711432548,-0.114880079,-1.129644051,2.502037679,2.392953347,2.122319781,1.093534806,0,-0.960096394,2.561371335,-2.338376037,3.353222132,-2.597919574,1.707618792,-1.499661316,-1.672964073,-0.060578253,-1.230286956,2.491432418,2.439168216,2.123624617,2.16389968,0,-1.036895079,2.639630515,-2.33956007,3.008200263,-2.685865035,1.670657143,-1.512842649,-1.700742378,-0.121828648,-1.131270201,2.498786864,2.395303387,2.120694341,2.012900369,0,-0.960782682,2.538641222,-2.293286039,3.322181305,-2.59810798,1.668913095
6,0,-1.494386985,-1.669436749,-0.119674053,-1.068484237,2.445553016,2.368859765,2.107088498,1.712678227,0,-0.885558512,2.210245431,-2.118270845,3.468933258,-2.552438229,1.45059962,-1.514883826,-1.711432548,-0.114880079,-1.124365825,2.49555599,2.377229511,2.119847283,1.707114535,0,-0.920799268,2.532212898,-2.332569787,3.445112465,-2.612677945,1.788796235,-1.49108361,-1.672964073,-0.060578253,-1.216950122,2.469938123,2.401108705,2.113230303,2.605088004,0,-0.992658484,2.461702009,-2.27012469,3.093802644,-2.666430605,1.675843467,-1.508310413,-1.700742378,-0.121828648,-1.124830866,2.487864996,2.37428099,2.115094603,0.789164329,0,-0.92140719,2.487164775,-2.275204749,3.415286948,-2.609151592,1.741547721
7,0,-1.540580346,-1.669436749,-0.119674053,-1.134568601,2.538016085,2.633201321,2.21382665,1.712678227,0,-0.903327338,2.42388142,-2.206268311,3.615682195,-2.841643297,1.354858254,-1.554641241,-1.755634652,-0.114880079,-1.189435396,2.570680039,2.622373896,2.213508001,1.707114535,0,-0.938704016,2.608394009,-2.384813561,3.587245101,-2.906457269,1.693179388,-1.534649715,-1.672964073,-0.060578253,-1.297098339,2.546823448,2.657846153,2.205752106,2.605088004,0,-1.012307792,2.713208577,-2.397679227,3.208606804,-3.018300195,1.647792072,-1.549395167,-1.744948992,-0.121828648,-1.190904912,2.568061966,2.626002107,2.212858701,2.012900369,0,-0.939279417,2.591110939,-2.345719084,3.555825995,-2.906431935,1.652769834
8,0.21,-1.498409177,-1.669436749,-0.119674053,-1.080344009,2.436417905,2.314656321,2.070937885,2.01474908,0,-0.908896373,2.355455044,-2.479071181,1.567513947,-1.875129134,2.456297491,-1.521283567,-1.711432548,-0.114880079,-1.142692272,2.485561056,2.343938315,2.092983531,1.707114535,0,-0.945852124,2.537944025,-2.553949442,1.468724932,-1.950266514,2.606097025,-1.479907619,-1.629158798,-0.060578253,-1.224919117,2.372505011,2.362509479,2.066069425,2.16389968,0,-1.016615525,2.350349853,-2.425806442,0.998801,-1.964753774,2.477411356,-1.512307427,-1.700742378,-0.121828648,-1.14176966,2.466203844,2.336228751,2.083427004,0.789164329,0,-0.946002954,2.437603305,-2.497719937,1.441014499,-1.943833488,2.56467128
9,0.14,-1.500573776,-1.669436749,-0.119674053,-1.073229674,2.468946161,2.353793985,2.096059424,1.410607375,0,-0.888172671,2.491960619,-2.504148798,2.172871016,-2.081886024,2.504346449,-1.516555938,-1.711432548,-0.114880079,-1.129909113,2.490875196,2.349708133,2.102014944,1.707114535,0,-0.926404105,2.548570803,-2.510590251,2.125451817,-2.151048979,2.494127337,-1.49015056,-1.672964073,-0.060578253,-1.223731658,2.444673055,2.394939579,2.092937369,1.575648581,0,-0.993333343,2.684140721,-2.544056563,1.699165479,-2.205227113,2.577798557,-1.510262994,-1.700742378,-0.121828648,-1.1304632,2.484631884,2.350591526,2.09813115,0.789164329,0,-0.926270976,2.54010503,-2.492033339,2.105631115,-2.151800123,2.463933153
